[ILPcarry, ILPblock, ILPjit, inflation, Trinity, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTcarry, CTblock, CTjit, CTmix]
input/30Tasks_300_3_S.npy
[ {'shared-R': 0.31820415106657274, 'deadline': 3.793291450775094, 'period': 3.793291450775094, 'exclusive-R': 1.394418494722995}
 {'shared-R': 0.4425089223087698, 'deadline': 4.845716614210859, 'period': 4.845716614210859, 'exclusive-R': 1.4995110680720456}
 {'shared-R': 4.593330099924088, 'deadline': 55.800616742287545, 'period': 55.800616742287545, 'exclusive-R': 18.91189991637122}
 {'shared-R': 0.15059578293300513, 'deadline': 2.8784603804876343, 'period': 2.8784603804876343, 'exclusive-R': 0.8764765264497508}
 {'shared-R': 2.394416562378469, 'deadline': 40.49087235026124, 'period': 40.49087235026124, 'exclusive-R': 15.534861164660551}
 {'shared-R': 0.2557751013479236, 'deadline': 4.918499286218354, 'period': 4.918499286218354, 'exclusive-R': 1.8350436986538596}
 {'shared-R': 4.489765827529857, 'deadline': 79.54812784851441, 'period': 79.54812784851441, 'exclusive-R': 27.17865754322323}
 {'shared-R': 0.4323856041724008, 'deadline': 1.3997998065757415, 'period': 1.3997998065757415, 'exclusive-R': 0.3880293051024902}
 {'shared-R': 5.358376242534587, 'deadline': 41.08768545661971, 'period': 41.08768545661971, 'exclusive-R': 13.186606495575933}
 {'shared-R': 0.5963397619204931, 'deadline': 6.747228890953662, 'period': 6.747228890953662, 'exclusive-R': 1.9473628506725316}
 {'shared-R': 15.177102987640922, 'deadline': 91.638044370301, 'period': 91.638044370301, 'exclusive-R': 27.503316157052804}
 {'shared-R': 0.6758464900171699, 'deadline': 7.123458993435387, 'period': 7.123458993435387, 'exclusive-R': 2.450995274083072}
 {'shared-R': 8.007042708215506, 'deadline': 56.78935601858537, 'period': 56.78935601858537, 'exclusive-R': 21.49837279051582}]
total utili:3.0
total utili+exclusive:13.463434294
[ {'shared-R': 0.7997239149765675, 'deadline': 3.074323203695708, 'period': 3.074323203695708, 'exclusive-R': 0.8204860067703248}
 {'shared-R': 4.529189568170345, 'deadline': 80.22605047756493, 'period': 80.22605047756493, 'exclusive-R': 26.661197422265406}
 {'shared-R': 0.12973426557887846, 'deadline': 1.9312179324610315, 'period': 1.9312179324610315, 'exclusive-R': 0.6757611308681194}
 {'shared-R': 1.6427641933929333, 'deadline': 32.06300560102979, 'period': 32.06300560102979, 'exclusive-R': 10.687558032853513}
 {'shared-R': 0.04114006732183592, 'deadline': 8.30186478791438, 'period': 8.30186478791438, 'exclusive-R': 3.3954266931646155}
 {'shared-R': 8.928229116304697, 'deadline': 46.41196311935075, 'period': 46.41196311935075, 'exclusive-R': 16.678003318656422}
 {'shared-R': 0.025798834597782358, 'deadline': 7.405032592514978, 'period': 7.405032592514978, 'exclusive-R': 2.7667192738768684}
 {'shared-R': 0.8180453209498462, 'deadline': 16.365191546059297, 'period': 16.365191546059297, 'exclusive-R': 6.32755619857924}
 {'shared-R': 0.47684705466029426, 'deadline': 4.548640816156218, 'period': 4.548640816156218, 'exclusive-R': 1.3329959213243023}
 {'shared-R': 24.86565187763199, 'deadline': 72.03505096943869, 'period': 72.03505096943869, 'exclusive-R': 19.433252252471707}
 {'shared-R': 0.22869069181743432, 'deadline': 7.676907049591176, 'period': 7.676907049591176, 'exclusive-R': 2.3275322743748403}
 {'shared-R': 2.516996483296908, 'deadline': 83.07293112678684, 'period': 83.07293112678684, 'exclusive-R': 30.65159731247958}
 {'shared-R': 0.04708314413696854, 'deadline': 4.4088995573566905, 'period': 4.4088995573566905, 'exclusive-R': 1.3346226513371733}
 {'shared-R': 0.7725331196473941, 'deadline': 21.88512933811903, 'period': 21.88512933811903, 'exclusive-R': 7.76812502001133}
 {'shared-R': 0.0351050883821497, 'deadline': 1.960250444074532, 'period': 1.960250444074532, 'exclusive-R': 0.6094499954387284}
 {'shared-R': 2.518579515054155, 'deadline': 21.592258493971052, 'period': 21.592258493971052, 'exclusive-R': 7.336872918012591}
 {'shared-R': 0.1964793544425127, 'deadline': 8.297630555407697, 'period': 8.297630555407697, 'exclusive-R': 3.4326490591504646}
 {'shared-R': 3.607353141792333, 'deadline': 31.173175497494757, 'period': 31.173175497494757, 'exclusive-R': 10.48287557531407}
 {'shared-R': 1.2677044284989996, 'deadline': 6.840483995195788, 'period': 6.840483995195788, 'exclusive-R': 2.286165896433198}
 {'shared-R': 0.9835419168199445, 'deadline': 49.11042067390669, 'period': 49.11042067390669, 'exclusive-R': 16.126261407242197}
 {'shared-R': 0.8034630390627397, 'deadline': 7.198091568772359, 'period': 7.198091568772359, 'exclusive-R': 2.3021160028485474}
 {'shared-R': 0.5064039160868298, 'deadline': 23.292731626793618, 'period': 23.292731626793618, 'exclusive-R': 7.340741251842293}
 {'shared-R': 0.18789407506441244, 'deadline': 1.1964347494710403, 'period': 1.1964347494710403, 'exclusive-R': 0.3584022058292209}
 {'shared-R': 4.709869771630741, 'deadline': 52.00875690482447, 'period': 52.00875690482447, 'exclusive-R': 14.49828503002368}
 {'shared-R': 0.6113939977490686, 'deadline': 2.8204136866062925, 'period': 2.8204136866062925, 'exclusive-R': 0.9795720711027083}
 {'shared-R': 0.7491267449989808, 'deadline': 42.19323068157104, 'period': 42.19323068157104, 'exclusive-R': 16.524569873352053}
 {'shared-R': 0.7231100446410009, 'deadline': 3.959468380859333, 'period': 3.959468380859333, 'exclusive-R': 1.1259397723484816}
 {'shared-R': 4.306105704353671, 'deadline': 48.40713863339302, 'period': 48.40713863339302, 'exclusive-R': 15.425429596316055}
 {'shared-R': 0.2106649536646725, 'deadline': 7.3342625787776585, 'period': 7.3342625787776585, 'exclusive-R': 2.588878932073337}
 {'shared-R': 6.1724091673469506, 'deadline': 17.003221113458988, 'period': 17.003221113458988, 'exclusive-R': 3.347503789709443}]
total utili:3.0
total utili+exclusive:12.8721023869
[ {'shared-R': 0.07174950887791676, 'deadline': 5.603646343632781, 'period': 5.603646343632781, 'exclusive-R': 1.8525176196784094}
 {'shared-R': 1.181346434758087, 'deadline': 27.964583212095867, 'period': 27.964583212095867, 'exclusive-R': 11.384794159905967}
 {'shared-R': 0.09411852289217854, 'deadline': 2.881769944385213, 'period': 2.881769944385213, 'exclusive-R': 1.0575943974305082}
 {'shared-R': 4.301127474038011, 'deadline': 22.791996589538027, 'period': 22.791996589538027, 'exclusive-R': 6.775958707269766}
 {'shared-R': 1.2037423091077353, 'deadline': 5.399283171214115, 'period': 5.399283171214115, 'exclusive-R': 1.6343930056424147}
 {'shared-R': 3.6415972772985703, 'deadline': 50.40026908728584, 'period': 50.40026908728584, 'exclusive-R': 15.652544188604487}
 {'shared-R': 0.4691023766596167, 'deadline': 5.811494662748857, 'period': 5.811494662748857, 'exclusive-R': 1.778628084969076}
 {'shared-R': 4.397876655593767, 'deadline': 75.42243729991709, 'period': 75.42243729991709, 'exclusive-R': 25.027344456267066}
 {'shared-R': 0.7706026342063119, 'deadline': 3.7197921228659654, 'period': 3.7197921228659654, 'exclusive-R': 1.0318633872194565}
 {'shared-R': 0.8827633377247561, 'deadline': 41.14190440079518, 'period': 41.14190440079518, 'exclusive-R': 15.364275718935145}
 {'shared-R': 3.416455586886182, 'deadline': 8.159464670209442, 'period': 8.159464670209442, 'exclusive-R': 2.0585236410171115}
 {'shared-R': 2.898856657743489, 'deadline': 46.96078108743226, 'period': 46.96078108743226, 'exclusive-R': 14.93756226023145}
 {'shared-R': 0.22243222173011706, 'deadline': 1.6029763205266314, 'period': 1.6029763205266314, 'exclusive-R': 0.5911602182793991}
 {'shared-R': 0.930649546498154, 'deadline': 20.56442800796616, 'period': 20.56442800796616, 'exclusive-R': 8.519114741411492}
 {'shared-R': 0.19803877046991622, 'deadline': 1.8420376390861843, 'period': 1.8420376390861843, 'exclusive-R': 0.5347094176988896}
 {'shared-R': 9.144910461334604, 'deadline': 96.1891508133361, 'period': 96.1891508133361, 'exclusive-R': 30.70782626833913}
 {'shared-R': 0.0038282650032098464, 'deadline': 3.6603224428588175, 'period': 3.6603224428588175, 'exclusive-R': 1.5108238624551136}
 {'shared-R': 0.4332292230090409, 'deadline': 33.33051851208094, 'period': 33.33051851208094, 'exclusive-R': 13.132700515724276}
 {'shared-R': 0.07956319804930512, 'deadline': 1.1395836056988506, 'period': 1.1395836056988506, 'exclusive-R': 0.33511924857525593}
 {'shared-R': 2.827994336497652, 'deadline': 68.17920182173263, 'period': 68.17920182173263, 'exclusive-R': 25.577776994783182}
 {'shared-R': 1.013436778663963, 'deadline': 5.4457297493002175, 'period': 5.4457297493002175, 'exclusive-R': 1.6521432553760922}
 {'shared-R': 0.5856003184464151, 'deadline': 47.322441848614154, 'period': 47.322441848614154, 'exclusive-R': 20.816771551476393}
 {'shared-R': 0.0482793520669025, 'deadline': 2.126194869768767, 'period': 2.126194869768767, 'exclusive-R': 0.6597319487260804}
 {'shared-R': 10.484361062780215, 'deadline': 64.93183237314027, 'period': 64.93183237314027, 'exclusive-R': 21.38599291271346}
 {'shared-R': 0.6656594662466968, 'deadline': 8.183715064693677, 'period': 8.183715064693677, 'exclusive-R': 2.5958456822640787}
 {'shared-R': 0.7751139620267562, 'deadline': 93.15255179610828, 'period': 93.15255179610828, 'exclusive-R': 39.992712103214835}
 {'shared-R': 0.47660078005264933, 'deadline': 9.23196846251332, 'period': 9.23196846251332, 'exclusive-R': 3.4742317222169556}
 {'shared-R': 18.030573448072673, 'deadline': 65.29832636297073, 'period': 65.29832636297073, 'exclusive-R': 15.835870473653111}
 {'shared-R': 1.5698343329442852, 'deadline': 7.136083681136797, 'period': 7.136083681136797, 'exclusive-R': 2.2980191419555585}
 {'shared-R': 1.5177541192739359, 'deadline': 31.418334722370336, 'period': 31.418334722370336, 'exclusive-R': 9.467826975097205}]
total utili:3.0
total utili+exclusive:13.1146054567
[ {'shared-R': 0.24521910176157904, 'deadline': 7.484616102927282, 'period': 7.484616102927282, 'exclusive-R': 2.7908138499462316}
 {'shared-R': 6.041952716659245, 'deadline': 81.10995379433116, 'period': 81.10995379433116, 'exclusive-R': 24.029126774451942}
 {'shared-R': 0.3549242393962766, 'deadline': 6.758753709918071, 'period': 6.758753709918071, 'exclusive-R': 2.799300031385808}
 {'shared-R': 5.919011105265377, 'deadline': 82.52974452695314, 'period': 82.52974452695314, 'exclusive-R': 25.442376005148137}
 {'shared-R': 2.943597798193808, 'deadline': 8.562854720688712, 'period': 8.562854720688712, 'exclusive-R': 2.0681342367455304}
 {'shared-R': 1.8206057322595015, 'deadline': 22.972441145502508, 'period': 22.972441145502508, 'exclusive-R': 8.964783832779688}
 {'shared-R': 0.5751004635300963, 'deadline': 6.432791681461331, 'period': 6.432791681461331, 'exclusive-R': 1.9671058612919288}
 {'shared-R': 2.6389226274389586, 'deadline': 68.47041828162689, 'period': 68.47041828162689, 'exclusive-R': 26.870395064811724}
 {'shared-R': 0.07986155881113306, 'deadline': 1.6944600385090443, 'period': 1.6944600385090443, 'exclusive-R': 0.5106528947383027}
 {'shared-R': 2.5143965583772037, 'deadline': 50.15189639028161, 'period': 50.15189639028161, 'exclusive-R': 19.56913213306185}
 {'shared-R': 0.4189953977119057, 'deadline': 6.0246563947224985, 'period': 6.0246563947224985, 'exclusive-R': 2.238063448307734}
 {'shared-R': 0.3184576485641404, 'deadline': 12.016340562156085, 'period': 12.016340562156085, 'exclusive-R': 4.258749708699339}
 {'shared-R': 0.2082083221722856, 'deadline': 5.72337075623254, 'period': 5.72337075623254, 'exclusive-R': 2.4476423327195542}
 {'shared-R': 2.044798628963719, 'deadline': 50.34760210164347, 'period': 50.34760210164347, 'exclusive-R': 19.514562562277575}
 {'shared-R': 0.018580529681853253, 'deadline': 6.814064083797382, 'period': 6.814064083797382, 'exclusive-R': 2.573482613036318}
 {'shared-R': 8.980278902555288, 'deadline': 59.63107602685156, 'period': 59.63107602685156, 'exclusive-R': 15.760369750587328}
 {'shared-R': 0.47378055763076554, 'deadline': 8.331853177794093, 'period': 8.331853177794093, 'exclusive-R': 2.404757455959375}
 {'shared-R': 4.0619316371305665, 'deadline': 56.17466192171784, 'period': 56.17466192171784, 'exclusive-R': 18.830598983511372}
 {'shared-R': 0.42184922814198744, 'deadline': 4.989820306575615, 'period': 4.989820306575615, 'exclusive-R': 1.5681561822259038}
 {'shared-R': 25.991546337060992, 'deadline': 63.017939650843914, 'period': 63.017939650843914, 'exclusive-R': 16.479760817349124}
 {'shared-R': 0.6332013544930409, 'deadline': 7.212379803782585, 'period': 7.212379803782585, 'exclusive-R': 2.3816986201876}
 {'shared-R': 0.7575643788087004, 'deadline': 19.31690851312448, 'period': 19.31690851312448, 'exclusive-R': 7.102543449062839}
 {'shared-R': 2.5211227629387247, 'deadline': 8.29768323312982, 'period': 8.29768323312982, 'exclusive-R': 2.507405798044039}
 {'shared-R': 3.229854865936868, 'deadline': 23.494869235042778, 'period': 23.494869235042778, 'exclusive-R': 8.915745382556597}
 {'shared-R': 0.08014257026070316, 'deadline': 3.900710987771669, 'period': 3.900710987771669, 'exclusive-R': 1.6001203484878572}
 {'shared-R': 0.7462371743990098, 'deadline': 45.45844887492556, 'period': 45.45844887492556, 'exclusive-R': 18.294321446474537}
 {'shared-R': 1.3425657842967982, 'deadline': 6.391925683513266, 'period': 6.391925683513266, 'exclusive-R': 1.607762812898779}
 {'shared-R': 8.20410476117801, 'deadline': 73.98404155208245, 'period': 73.98404155208245, 'exclusive-R': 23.861766059521507}
 {'shared-R': 0.7172826042798288, 'deadline': 6.792393511534757, 'period': 6.792393511534757, 'exclusive-R': 2.530692773451337}
 {'shared-R': 7.251651011374572, 'deadline': 53.33975798991455, 'period': 53.33975798991455, 'exclusive-R': 16.66266398726038}]
total utili:3.0
total utili+exclusive:13.2471215218
[ {'shared-R': 0.15237166411476932, 'deadline': 2.947448603752043, 'period': 2.947448603752043, 'exclusive-R': 1.168838961261851}
 {'shared-R': 2.85360001898236, 'deadline': 74.64168699598054, 'period': 74.64168699598054, 'exclusive-R': 22.321461289237728}
 {'shared-R': 0.041083987180728546, 'deadline': 1.6217253380857617, 'period': 1.6217253380857617, 'exclusive-R': 0.6989767408559333}
 {'shared-R': 2.762460805514736, 'deadline': 34.643774931387526, 'period': 34.643774931387526, 'exclusive-R': 9.737584961086569}
 {'shared-R': 0.038307607352425756, 'deadline': 1.340635640940602, 'period': 1.340635640940602, 'exclusive-R': 0.5469963046453853}
 {'shared-R': 13.168006766445089, 'deadline': 92.72913487728634, 'period': 92.72913487728634, 'exclusive-R': 24.6934628732554}
 {'shared-R': 0.42944408340921325, 'deadline': 3.748605746294092, 'period': 3.748605746294092, 'exclusive-R': 1.4057982161732148}
 {'shared-R': 2.188300658311844, 'deadline': 58.40715648716592, 'period': 58.40715648716592, 'exclusive-R': 17.16416802500739}
 {'shared-R': 0.023548232717287013, 'deadline': 6.185863000992463, 'period': 6.185863000992463, 'exclusive-R': 1.885127471011082}
 {'shared-R': 6.563284543583285, 'deadline': 30.209382850859726, 'period': 30.209382850859726, 'exclusive-R': 10.349636334001067}
 {'shared-R': 0.23168018074868643, 'deadline': 6.205728277995821, 'period': 6.205728277995821, 'exclusive-R': 1.9570149658459197}
 {'shared-R': 0.07154659233210671, 'deadline': 53.070846470596, 'period': 53.070846470596, 'exclusive-R': 19.960379181732417}
 {'shared-R': 0.5718277671169822, 'deadline': 7.933933392050488, 'period': 7.933933392050488, 'exclusive-R': 2.640271574408187}
 {'shared-R': 18.897546982320442, 'deadline': 82.56253676343502, 'period': 82.56253676343502, 'exclusive-R': 21.276055161279185}
 {'shared-R': 0.9564603687985472, 'deadline': 7.585803044673878, 'period': 7.585803044673878, 'exclusive-R': 2.208504265772541}
 {'shared-R': 9.211525908219055, 'deadline': 40.008407983980305, 'period': 40.008407983980305, 'exclusive-R': 12.89673746294265}
 {'shared-R': 0.017394575512825618, 'deadline': 1.2745694717095257, 'period': 1.2745694717095257, 'exclusive-R': 0.4924059609857774}
 {'shared-R': 13.64805003387757, 'deadline': 98.86182566251621, 'period': 98.86182566251621, 'exclusive-R': 32.8992523357858}
 {'shared-R': 1.2130079603928725, 'deadline': 5.6909520328651695, 'period': 5.6909520328651695, 'exclusive-R': 1.4546374018066128}
 {'shared-R': 14.494289128277373, 'deadline': 84.01274555649807, 'period': 84.01274555649807, 'exclusive-R': 21.95980309222007}
 {'shared-R': 0.9379947834846202, 'deadline': 8.781749543698849, 'period': 8.781749543698849, 'exclusive-R': 2.4129299737470475}
 {'shared-R': 2.1333991063840383, 'deadline': 70.51327873057653, 'period': 70.51327873057653, 'exclusive-R': 22.24589789667125}
 {'shared-R': 0.6052368421152714, 'deadline': 4.549918773560055, 'period': 4.549918773560055, 'exclusive-R': 1.7347825334934432}
 {'shared-R': 8.430389090808484, 'deadline': 89.64074186989856, 'period': 89.64074186989856, 'exclusive-R': 30.167832795968472}
 {'shared-R': 0.8338125555751057, 'deadline': 6.547888129386969, 'period': 6.547888129386969, 'exclusive-R': 1.9988616377445196}
 {'shared-R': 2.0439639449649483, 'deadline': 83.01430702244645, 'period': 83.01430702244645, 'exclusive-R': 34.04263476699993}
 {'shared-R': 0.29655242449582836, 'deadline': 5.29337601113048, 'period': 5.29337601113048, 'exclusive-R': 1.5812564590497056}
 {'shared-R': 6.642660077102409, 'deadline': 71.04064795920684, 'period': 71.04064795920684, 'exclusive-R': 24.474573564622386}
 {'shared-R': 0.7353047050493875, 'deadline': 9.881007619265835, 'period': 9.881007619265835, 'exclusive-R': 3.5558124989728563}
 {'shared-R': 23.3896191393279, 'deadline': 81.22896663160121, 'period': 81.22896663160121, 'exclusive-R': 23.357288140746036}]
total utili:3.0
total utili+exclusive:12.843841606
[ {'shared-R': 0.1202711773194889, 'deadline': 6.3161973166166385, 'period': 6.3161973166166385, 'exclusive-R': 2.6991283952314276}
 {'shared-R': 2.2826504296298293, 'deadline': 21.43581349130354, 'period': 21.43581349130354, 'exclusive-R': 7.451954443361211}
 {'shared-R': 0.6597131203095177, 'deadline': 6.803123849588904, 'period': 6.803123849588904, 'exclusive-R': 2.583577316717384}
 {'shared-R': 9.307205251273512, 'deadline': 85.14637198758348, 'period': 85.14637198758348, 'exclusive-R': 33.39025585683137}
 {'shared-R': 2.025314871960334, 'deadline': 9.620375434606366, 'period': 9.620375434606366, 'exclusive-R': 3.086383410968341}
 {'shared-R': 19.114391656505703, 'deadline': 47.556069385455245, 'period': 47.556069385455245, 'exclusive-R': 11.705376077750905}
 {'shared-R': 0.44158580524593033, 'deadline': 2.388966455938039, 'period': 2.388966455938039, 'exclusive-R': 0.6116886701427475}
 {'shared-R': 6.676182798527791, 'deadline': 85.0041727626405, 'period': 85.0041727626405, 'exclusive-R': 26.492110019050923}
 {'shared-R': 0.2173255328642794, 'deadline': 4.482358032931883, 'period': 4.482358032931883, 'exclusive-R': 1.4946083072111245}
 {'shared-R': 0.15970415836625151, 'deadline': 22.93810894316909, 'period': 22.93810894316909, 'exclusive-R': 7.129744628830172}
 {'shared-R': 0.3886538366714421, 'deadline': 5.385493036596852, 'period': 5.385493036596852, 'exclusive-R': 1.6956229984775482}
 {'shared-R': 0.003388082673847768, 'deadline': 91.89183809649808, 'period': 91.89183809649808, 'exclusive-R': 28.541358921684086}
 {'shared-R': 0.06291770657723603, 'deadline': 1.1465668704440715, 'period': 1.1465668704440715, 'exclusive-R': 0.38137012831031825}
 {'shared-R': 6.96641060832442, 'deadline': 48.92041675103402, 'period': 48.92041675103402, 'exclusive-R': 12.766907164039193}
 {'shared-R': 0.5399173297838396, 'deadline': 6.990718184583827, 'period': 6.990718184583827, 'exclusive-R': 2.374787772223132}
 {'shared-R': 0.537839352956818, 'deadline': 27.745470563518136, 'period': 27.745470563518136, 'exclusive-R': 10.373836873655872}
 {'shared-R': 0.02857456328826938, 'deadline': 1.46574632018514, 'period': 1.46574632018514, 'exclusive-R': 0.4764307959080642}
 {'shared-R': 2.187216943687577, 'deadline': 50.41941948408772, 'period': 50.41941948408772, 'exclusive-R': 16.549168746005062}
 {'shared-R': 0.04450886441330069, 'deadline': 8.743324297118836, 'period': 8.743324297118836, 'exclusive-R': 2.8120706537517175}
 {'shared-R': 17.496799387825607, 'deadline': 98.4448997199027, 'period': 98.4448997199027, 'exclusive-R': 31.582529319472826}
 {'shared-R': 0.4232330163234129, 'deadline': 4.471266720775107, 'period': 4.471266720775107, 'exclusive-R': 1.6838151889517383}
 {'shared-R': 14.838054016972656, 'deadline': 42.40553657579896, 'period': 42.40553657579896, 'exclusive-R': 9.006182024895427}
 {'shared-R': 0.06283024107440652, 'deadline': 2.1817874989247206, 'period': 2.1817874989247206, 'exclusive-R': 0.6965018890057613}
 {'shared-R': 1.7089729176430406, 'deadline': 59.91617865823398, 'period': 59.91617865823398, 'exclusive-R': 25.434047872004697}
 {'shared-R': 0.25726828128059887, 'deadline': 7.538498391667435, 'period': 7.538498391667435, 'exclusive-R': 3.234363957143943}
 {'shared-R': 0.5312388263174204, 'deadline': 33.4898133336539, 'period': 33.4898133336539, 'exclusive-R': 10.123123129186093}
 {'shared-R': 1.1868644664819894, 'deadline': 5.903761199150012, 'period': 5.903761199150012, 'exclusive-R': 1.4209823355635847}
