[ILPcarry, ILPblock, ILPjit, inflation, Trinity, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTcarry, CTblock, CTjit, CTmix]
input/30Tasks_1200_0_S.npy
[ {'shared-R': 0.03516903787298582, 'deadline': 3.8751786744546584, 'period': 3.8751786744546584, 'exclusive-R': 1.254633078804858}
 {'shared-R': 12.03702228811132, 'deadline': 39.81711497701904, 'period': 39.81711497701904, 'exclusive-R': 8.878887363444857}]
[22, 23, 18, 30, 20, 20, 19, 20, 19, 23, 21, 19, 20]
input/30Tasks_1350_0_S.npy
[ {'shared-R': 0.13114410323853998, 'deadline': 3.8057485555518187, 'period': 3.8057485555518187, 'exclusive-R': 1.6051686837223733}
 {'shared-R': 19.912627271579993, 'deadline': 20.976689543734885, 'period': 20.976689543734885, 'exclusive-R': 0.3783126173342143}
 {'shared-R': 2.926134595542503, 'deadline': 8.48677717178265, 'period': 8.48677717178265, 'exclusive-R': 2.1155883985372492}
 {'shared-R': 31.582464794615703, 'deadline': 44.4776477342167, 'period': 44.4776477342167, 'exclusive-R': 5.06914330390366}
 {'shared-R': 6.415329542568964, 'deadline': 9.774279672904951, 'period': 9.774279672904951, 'exclusive-R': 1.162623047173088}
 {'shared-R': 16.57556770288684, 'deadline': 27.988893254137096, 'period': 27.988893254137096, 'exclusive-R': 3.7377529038743775}
 {'shared-R': 0.16482421578790937, 'deadline': 3.736493637021951, 'period': 3.736493637021951, 'exclusive-R': 1.1143723707229667}
 {'shared-R': 10.34220438985217, 'deadline': 21.133908274647286, 'period': 21.133908274647286, 'exclusive-R': 3.6747373829237473}
 {'shared-R': 0.15260636219781643, 'deadline': 1.8578306294406168, 'period': 1.8578306294406168, 'exclusive-R': 0.7387072913358232}
 {'shared-R': 7.919699222081996, 'deadline': 12.366893601411938, 'period': 12.366893601411938, 'exclusive-R': 1.8682704515809936}
 {'shared-R': 0.31767241181949013, 'deadline': 4.8246947631675825, 'period': 4.8246947631675825, 'exclusive-R': 1.746193859330174}
 {'shared-R': 22.776444611482376, 'deadline': 80.35086329158337, 'period': 80.35086329158337, 'exclusive-R': 22.49831123619601}
 {'shared-R': 0.17922066009560558, 'deadline': 6.122981003302046, 'period': 6.122981003302046, 'exclusive-R': 1.9287464508151415}
 {'shared-R': 9.41048270014711, 'deadline': 99.94482845474248, 'period': 99.94482845474248, 'exclusive-R': 40.68948231941639}
 {'shared-R': 2.250895545095055, 'deadline': 5.4321769449769866, 'period': 5.4321769449769866, 'exclusive-R': 0.9673762284680135}
 {'shared-R': 14.38377023199179, 'deadline': 21.54384041964153, 'period': 21.54384041964153, 'exclusive-R': 3.075233746495983}
 {'shared-R': 0.9769382237624584, 'deadline': 1.1274918952092454, 'period': 1.1274918952092454, 'exclusive-R': 0.04943974173180044}
 {'shared-R': 53.95017621017919, 'deadline': 92.66619417275567, 'period': 92.66619417275567, 'exclusive-R': 14.4757217255318}
 {'shared-R': 1.7894318873615598, 'deadline': 4.577314466697622, 'period': 4.577314466697622, 'exclusive-R': 1.0723683162352313}
 {'shared-R': 7.4119738652595455, 'deadline': 77.35233675464812, 'period': 77.35233675464812, 'exclusive-R': 23.171080682469146}
 {'shared-R': 2.461254107387442, 'deadline': 7.416690040666682, 'period': 7.416690040666682, 'exclusive-R': 2.2152571868458155}
 {'shared-R': 45.09913710440372, 'deadline': 71.66099214340471, 'period': 71.66099214340471, 'exclusive-R': 11.264920188904231}
 {'shared-R': 2.2676939549663016, 'deadline': 2.6881325768926745, 'period': 2.6881325768926745, 'exclusive-R': 0.1367840734170803}
 {'shared-R': 23.040844223724207, 'deadline': 35.0934524963026, 'period': 35.0934524963026, 'exclusive-R': 3.7156536319118203}
 {'shared-R': 3.8288033050043215, 'deadline': 7.7842263765450275, 'period': 7.7842263765450275, 'exclusive-R': 1.7713054482513404}
 {'shared-R': 17.640460423476732, 'deadline': 34.006629768561325, 'period': 34.006629768561325, 'exclusive-R': 5.084391389066452}
 {'shared-R': 2.4285410834523202, 'deadline': 4.027374828202319, 'period': 4.027374828202319, 'exclusive-R': 0.6475335917868448}
 {'shared-R': 8.484696103376077, 'deadline': 27.842399691157702, 'period': 27.842399691157702, 'exclusive-R': 6.287771178160788}
 {'shared-R': 1.1298839874506033, 'deadline': 2.7031719571752855, 'period': 2.7031719571752855, 'exclusive-R': 0.5609561425890911}
 {'shared-R': 31.45731943654243, 'deadline': 47.02360633099328, 'period': 47.02360633099328, 'exclusive-R': 5.725957003242854}]
[24, 24, 22, 30, 21, 21, 21, 21, 21, 24, 24, 22, 22]
input/30Tasks_1500_0_S.npy
[ {'shared-R': 0.40598230542026953, 'deadline': 5.833941734652804, 'period': 5.833941734652804, 'exclusive-R': 2.1456383607552074}
 {'shared-R': 23.071046470387323, 'deadline': 33.0462364047488, 'period': 33.0462364047488, 'exclusive-R': 3.8134141292358734}
 {'shared-R': 3.5681691950031644, 'deadline': 6.9612388675106835, 'period': 6.9612388675106835, 'exclusive-R': 1.4740686643669}
 {'shared-R': 68.42063579157579, 'deadline': 72.47051214744468, 'period': 72.47051214744468, 'exclusive-R': 1.4744674947806464}
 {'shared-R': 0.69505528738424, 'deadline': 6.247643396624108, 'period': 6.247643396624108, 'exclusive-R': 1.6854399917514766}
 {'shared-R': 34.70685534381319, 'deadline': 53.32928970520511, 'period': 53.32928970520511, 'exclusive-R': 6.485131540317411}
 {'shared-R': 0.7551364905034985, 'deadline': 3.5252590117455362, 'period': 3.5252590117455362, 'exclusive-R': 0.9029953878406868}
 {'shared-R': 5.699212988216148, 'deadline': 88.20171522158104, 'period': 88.20171522158104, 'exclusive-R': 25.239620686919046}
 {'shared-R': 0.9895471074260105, 'deadline': 2.0902029439364864, 'period': 2.0902029439364864, 'exclusive-R': 0.4086586681668545}
 {'shared-R': 65.01738281160624, 'deadline': 82.56770571512551, 'period': 82.56770571512551, 'exclusive-R': 5.905581071734253}
 {'shared-R': 0.5200569893600546, 'deadline': 4.539179590757522, 'period': 4.539179590757522, 'exclusive-R': 1.2332300241837684}
 {'shared-R': 48.29187172488739, 'deadline': 66.11759045571712, 'period': 66.11759045571712, 'exclusive-R': 6.00996257990869}
 {'shared-R': 0.18764146209542426, 'deadline': 1.462774707581295, 'period': 1.462774707581295, 'exclusive-R': 0.5468043231355219}
 {'shared-R': 28.679110293151254, 'deadline': 55.32653500786677, 'period': 55.32653500786677, 'exclusive-R': 9.330447584962855}
 {'shared-R': 8.41454839457421, 'deadline': 9.949456801690458, 'period': 9.949456801690458, 'exclusive-R': 0.6710300222001495}
 {'shared-R': 8.461022389774252, 'deadline': 42.73344859454281, 'period': 42.73344859454281, 'exclusive-R': 10.976063150189951}
 {'shared-R': 2.976202693958571, 'deadline': 4.650027011749224, 'period': 4.650027011749224, 'exclusive-R': 0.5480933754301793}
 {'shared-R': 51.66747616627674, 'deadline': 93.43256426315266, 'period': 93.43256426315266, 'exclusive-R': 17.244547759441005}
 {'shared-R': 0.8761005552471115, 'deadline': 1.7506311344523646, 'period': 1.7506311344523646, 'exclusive-R': 0.3287758918949358}
 {'shared-R': 36.42113618031052, 'deadline': 66.53493422386217, 'period': 66.53493422386217, 'exclusive-R': 9.142141173175819}
 {'shared-R': 5.68368496654389, 'deadline': 8.126726452999337, 'period': 8.126726452999337, 'exclusive-R': 0.9266578935301049}
 {'shared-R': 57.099771534358794, 'deadline': 65.62001896823988, 'period': 65.62001896823988, 'exclusive-R': 3.412392918459534}
 {'shared-R': 0.8960982100890101, 'deadline': 2.0545110846541332, 'period': 2.0545110846541332, 'exclusive-R': 0.40102523953673513}
 {'shared-R': 5.9413306345046335, 'deadline': 13.402346215361515, 'period': 13.402346215361515, 'exclusive-R': 2.6563268343963857}
 {'shared-R': 1.7188039825103458, 'deadline': 3.9738030340464676, 'period': 3.9738030340464676, 'exclusive-R': 0.7098345238288425}
 {'shared-R': 4.395494154349535, 'deadline': 15.208738552032697, 'period': 15.208738552032697, 'exclusive-R': 3.3609895465086206}
 {'shared-R': 0.20421365658439936, 'deadline': 1.1017584755783654, 'period': 1.1017584755783654, 'exclusive-R': 0.4038846363425542}
 {'shared-R': 76.63318626878177, 'deadline': 92.25297281740733, 'period': 92.25297281740733, 'exclusive-R': 5.498834951660301}
 {'shared-R': 2.3752338673558095, 'deadline': 2.884563638160105, 'period': 2.884563638160105, 'exclusive-R': 0.22082154988346708}
 {'shared-R': 10.161722359676817, 'deadline': 14.778413344369508, 'period': 14.778413344369508, 'exclusive-R': 1.8329801273303086}]
[24, 25, 22, 30, 23, 23, 23, 23, 23, 25, 24, 24, 24]
input/30Tasks_1650_0_S.npy
[ {'shared-R': 1.3421667166604452, 'deadline': 3.7674412861267195, 'period': 3.7674412861267195, 'exclusive-R': 0.9950505074836581}
 {'shared-R': 30.87101409752522, 'deadline': 42.71928681169351, 'period': 42.71928681169351, 'exclusive-R': 4.773162820603001}
 {'shared-R': 0.8827463564154774, 'deadline': 1.363408576411247, 'period': 1.363408576411247, 'exclusive-R': 0.18969112492522458}
 {'shared-R': 15.729440321721851, 'deadline': 19.356209324989283, 'period': 19.356209324989283, 'exclusive-R': 1.4612888864435996}
 {'shared-R': 1.5677486538983254, 'deadline': 4.282569509597861, 'period': 4.282569509597861, 'exclusive-R': 0.8392709140139026}
 {'shared-R': 8.883777531277879, 'deadline': 75.4783238961443, 'period': 75.4783238961443, 'exclusive-R': 23.730459744067453}
 {'shared-R': 1.8170174632928924, 'deadline': 4.7762826028132945, 'period': 4.7762826028132945, 'exclusive-R': 1.1273754853594116}
 {'shared-R': 60.41123789408332, 'deadline': 86.42064649068949, 'period': 86.42064649068949, 'exclusive-R': 9.888720172562746}
 {'shared-R': 0.08473739568215186, 'deadline': 2.5094039287848307, 'period': 2.5094039287848307, 'exclusive-R': 0.7280201778395219}
 {'shared-R': 39.99986113936849, 'deadline': 40.01483950228846, 'period': 40.01483950228846, 'exclusive-R': 0.0054504767327799184}
 {'shared-R': 0.7875493554039423, 'deadline': 1.6662347819268926, 'period': 1.6662347819268926, 'exclusive-R': 0.32247269636221704}
 {'shared-R': 5.737096859640966, 'deadline': 11.344570132906327, 'period': 11.344570132906327, 'exclusive-R': 2.083470906588645}
 {'shared-R': 2.452385400983513, 'deadline': 3.9958165158095706, 'period': 3.9958165158095706, 'exclusive-R': 0.5057108806305116}
 {'shared-R': 19.56871527121012, 'deadline': 53.039133320783954, 'period': 53.039133320783954, 'exclusive-R': 13.415859931012307}
 {'shared-R': 1.995455356647423, 'deadline': 2.0067637696221383, 'period': 2.0067637696221383, 'exclusive-R': 0.003704080211481347}
 {'shared-R': 66.21403173964691, 'deadline': 97.6779851756685, 'period': 97.6779851756685, 'exclusive-R': 13.016019792903686}
 {'shared-R': 2.2181858127256113, 'deadline': 6.6665982914274995, 'period': 6.6665982914274995, 'exclusive-R': 1.5324744571244433}
 {'shared-R': 80.21332885963986, 'deadline': 98.08784395272039, 'period': 98.08784395272039, 'exclusive-R': 7.052793268751987}
 {'shared-R': 4.684779318951426, 'deadline': 7.159200293187008, 'period': 7.159200293187008, 'exclusive-R': 0.8992944834052761}
 {'shared-R': 1.6360538769632131, 'deadline': 21.84105803386242, 'period': 21.84105803386242, 'exclusive-R': 6.490438200983952}
 {'shared-R': 2.6265063263211648, 'deadline': 7.256594402476695, 'period': 7.256594402476695, 'exclusive-R': 1.7225270942460045}
 {'shared-R': 12.820065135891442, 'deadline': 19.44342435271365, 'period': 19.44342435271365, 'exclusive-R': 2.7293390239025648}
 {'shared-R': 0.6524163436141325, 'deadline': 1.0219624562906289, 'period': 1.0219624562906289, 'exclusive-R': 0.11564390754642385}
 {'shared-R': 44.84382841164858, 'deadline': 81.92503430455407, 'period': 81.92503430455407, 'exclusive-R': 13.710168331563768}
 {'shared-R': 0.6083665648726235, 'deadline': 7.746155047799767, 'period': 7.746155047799767, 'exclusive-R': 2.2633756144619506}
 {'shared-R': 17.539389225190636, 'deadline': 61.193198113376326, 'period': 61.193198113376326, 'exclusive-R': 16.521005505777183}
 {'shared-R': 8.19907891828778, 'deadline': 9.788709290311873, 'period': 9.788709290311873, 'exclusive-R': 0.5429955251178022}
 {'shared-R': 22.35355469124011, 'deadline': 23.051833102000955, 'period': 23.051833102000955, 'exclusive-R': 0.24510374740116475}
 {'shared-R': 5.68349868547601, 'deadline': 7.198982143845494, 'period': 7.198982143845494, 'exclusive-R': 0.6749864872128678}
 {'shared-R': 45.20172830154326, 'deadline': 66.25214041701494, 'period': 66.25214041701494, 'exclusive-R': 7.367247049732274}]
[27, 27, 25, 30, 24, 24, 24, 24, 24, 27, 26, 25, 25]
